OBJECTID,COMID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,FLOWDIR,WBAREACOMI,FTYPE,FCODE,SHAPE_LENG,ENABLED,GNIS_NBR,Shape_Length
1,23519439,2001-01-25 0:00:00,Medium,386480,Marsh Creek,1.574,17060205000323,With Digitized,0,StreamRiver,46006,0.017817122,True,0,0.017817122
2,23519441,2001-01-25 0:00:00,Medium,386480,Marsh Creek,2.008,17060205000324,With Digitized,0,StreamRiver,46006,0.022249517,True,0,0.022249518
3,23519443,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.685,17060205000325,With Digitized,0,StreamRiver,46006,0.007450764,True,0,0.007450763
4,23519445,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.47,17060205000326,With Digitized,0,StreamRiver,46006,0.005007029,True,0,0.00500703
5,23519447,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.937,17060205000327,With Digitized,0,StreamRiver,46006,0.00990375,True,0,0.00990375
6,23519451,2001-01-25 0:00:00,Medium,386480,Marsh Creek,1.557,17060205000328,With Digitized,0,StreamRiver,46006,0.016178919,True,0,0.016178918
7,23519449,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.778,17060205000328,With Digitized,0,StreamRiver,46006,0.00865783,True,0,0.008657831
8,23519453,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.363,17060205000328,With Digitized,0,StreamRiver,46006,0.004506074,True,0,0.004506074
9,23519455,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.416,17060205000329,With Digitized,0,StreamRiver,46006,0.004666113,True,0,0.004666114
10,23519457,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.631,17060205000330,With Digitized,0,StreamRiver,46006,0.006100688,True,0,0.006100689
11,23519459,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.709,17060205000331,With Digitized,0,StreamRiver,46006,0.006716653,True,0,0.006716652
12,23519479,2001-01-25 0:00:00,Medium,386480,Marsh Creek,1.546,17060205000340,With Digitized,0,StreamRiver,46006,0.016861997,True,0,0.016861996
13,23519481,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.572,17060205000341,With Digitized,0,StreamRiver,46006,0.006294044,True,0,0.006294044
14,23519483,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.487,17060205000342,With Digitized,0,StreamRiver,46006,0.005184235,True,0,0.005184235
15,23519487,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.188,17060205000343,With Digitized,0,StreamRiver,46006,0.002065691,True,0,0.002065691
16,23519485,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.932,17060205000343,With Digitized,0,StreamRiver,46006,0.010161489,True,0,0.01016149
17,23519489,2001-01-25 0:00:00,Medium,386480,Marsh Creek,1.335,17060205000344,With Digitized,0,StreamRiver,46006,0.01401948,True,0,0.01401948
18,23519491,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.317,17060205000345,With Digitized,0,StreamRiver,46006,0.003673918,True,0,0.003673919
19,23520065,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.911,17060205000567,With Digitized,0,StreamRiver,46006,0.009899245,True,0,0.009899245
20,23523187,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.11,17060205000567,With Digitized,0,StreamRiver,46006,0.001154169,True,0,0.001154169
21,23520067,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.753,17060205000568,With Digitized,0,StreamRiver,46006,0.008417491,True,0,0.008417492
22,23520069,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.378,17060205000569,With Digitized,0,StreamRiver,46006,0.003854327,True,0,0.003854326
23,23520071,2001-01-25 0:00:00,Medium,386480,Marsh Creek,0.573,17060205000570,With Digitized,0,StreamRiver,46006,0.00594422,True,0,0.005944218
24,23520073,2001-01-25 0:00:00,Medium,386480,Marsh Creek,1.919,17060205000571,With Digitized,0,StreamRiver,46006,0.021079159,True,0,0.021079159
