stream,year,COMID,cumulative_exposure,prop_days_suitable,prop_days_unsuitable
Valley Creek,1990,23478957,2206.06842929862,0.29041095890411,0
Valley Creek,1990,23478959,2262.53066721794,0.29041095890411,0
Valley Creek,1990,23478961,2258.42189439247,0.29041095890411,0
Valley Creek,1990,23478963,2229.53082018941,0.29041095890411,0
Valley Creek,1990,23478965,2212.63300274158,0.287671232876712,0
Valley Creek,1990,23478967,2199.68070676517,0.287671232876712,0
Valley Creek,1990,23478969,2162.85091601379,0.29041095890411,0
Valley Creek,1990,23478971,2039.71989828772,0.284931506849315,0
Valley Creek,1990,23478973,1951.16142889548,0.254794520547945,0
Valley Creek,1990,23478975,2066.27195633274,0.282191780821918,0
Valley Creek,1990,23478977,2049.2050302934,0.279452054794521,0
Valley Creek,1990,23478979,2022.03594485858,0.271232876712329,0
Valley Creek,1990,23478981,1974.44068540372,0.271232876712329,0
Valley Creek,1990,23478983,1999.04880941549,0.276712328767123,0
Valley Creek,1990,23478985,1986.2380523838,0.268493150684932,0
Valley Creek,1990,23478987,1912.10640850223,0.232876712328767,0
Valley Creek,1990,23478989,1784.60010571421,0.232876712328767,0
Valley Creek,1990,23478991,1658.34914033211,0.189041095890411,0
Valley Creek,1990,23478993,1554.25919327058,0.164383561643836,0
Valley Creek,1990,23478995,1491.27975835419,0.128767123287671,0
Valley Creek,1990,23478997,1374.81354493162,0.0931506849315068,0
Valley Creek,1990,23478999,1324.96862653758,0.0794520547945206,0
Valley Creek,1990,23479001,1303.01627771682,0.0684931506849315,0
Valley Creek,1990,23479003,1282.31053808263,0.0602739726027397,0
Valley Creek,1990,23479005,1269.2276508922,0.052054794520548,0
Valley Creek,1990,23479007,1301.82332702291,0.0465753424657534,0
Valley Creek,1990,23479009,1265.07968499163,0.0246575342465753,0
Valley Creek,1990,23479011,1362.38720746497,0.0219178082191781,0
Valley Creek,1990,23479013,1430.48102552715,0.0356164383561644,0
Valley Creek,1991,23478957,2154.79741393367,0.252054794520548,0
Valley Creek,1991,23478959,2211.29173143768,0.26027397260274,0
Valley Creek,1991,23478961,2206.09348337185,0.26027397260274,0
Valley Creek,1991,23478963,2176.60010286443,0.26027397260274,0
Valley Creek,1991,23478965,2163.51194793521,0.268493150684932,0
Valley Creek,1991,23478967,2155.37237487537,0.257534246575342,0
Valley Creek,1991,23478969,2123.38472310208,0.252054794520548,0
Valley Creek,1991,23478971,1983.11692617157,0.224657534246575,0
Valley Creek,1991,23478973,1904.70827829593,0.2,0
Valley Creek,1991,23478975,2015.62269220985,0.227397260273973,0
Valley Creek,1991,23478977,1999.53335181638,0.224657534246575,0
Valley Creek,1991,23478979,1972.31173594283,0.208219178082192,0
Valley Creek,1991,23478981,1934.53815657186,0.2,0
Valley Creek,1991,23478983,1964.00317252759,0.208219178082192,0
Valley Creek,1991,23478985,1946.78406864719,0.2,0
Valley Creek,1991,23478987,1858.26646788681,0.191780821917808,0
Valley Creek,1991,23478989,1744.51179694527,0.189041095890411,0
Valley Creek,1991,23478991,1614.00817088669,0.180821917808219,0
Valley Creek,1991,23478993,1503.17840521684,0.161643835616438,0
Valley Creek,1991,23478995,1436.27213586418,0.147945205479452,0
Valley Creek,1991,23478997,1317.92912147892,0.10958904109589,0
Valley Creek,1991,23478999,1269.43317266435,0.0794520547945206,0
Valley Creek,1991,23479001,1247.61505191547,0.0438356164383562,0
Valley Creek,1991,23479003,1224.98393726647,0.0191780821917808,0
Valley Creek,1991,23479005,1210.51211427613,0.0164383561643836,0
Valley Creek,1991,23479007,1264.09494466993,0.00821917808219178,0
Valley Creek,1991,23479009,1226.20552587771,0,0
Valley Creek,1991,23479011,1321.84848130492,0,0
Valley Creek,1991,23479013,1416.6335876752,0.00273972602739726,0
Valley Creek,1992,23478957,2360.65187305363,0.306010928961749,0
Valley Creek,1992,23478959,2419.86336306833,0.311475409836066,0
Valley Creek,1992,23478961,2411.26028239699,0.306010928961749,0
Valley Creek,1992,23478963,2378.22958261863,0.306010928961749,0
Valley Creek,1992,23478965,2364.17605970192,0.308743169398907,0
Valley Creek,1992,23478967,2358.8784813991,0.306010928961749,0
Valley Creek,1992,23478969,2327.59320148296,0.300546448087432,0
Valley Creek,1992,23478971,2181.88607243768,0.26775956284153,0
Valley Creek,1992,23478973,2093.51027157564,0.237704918032787,0
Valley Creek,1992,23478975,2213.18960762418,0.270491803278689,0
Valley Creek,1992,23478977,2190.44994979598,0.265027322404372,0
Valley Creek,1992,23478979,2163.03001142558,0.256830601092896,0
Valley Creek,1992,23478981,2125.66420607258,0.248633879781421,0
Valley Creek,1992,23478983,2153.17249755742,0.254098360655738,0
Valley Creek,1992,23478985,2132.10950081833,0.243169398907104,0
Valley Creek,1992,23478987,2028.16894939163,0.213114754098361,0
Valley Creek,1992,23478989,1912.32415479484,0.191256830601093,0
Valley Creek,1992,23478991,1758.47099587809,0.133879781420765,0
Valley Creek,1992,23478993,1634.35318580009,0.0983606557377049,0
Valley Creek,1992,23478995,1559.41664257805,0.0792349726775956,0
Valley Creek,1992,23478997,1434.9424139889,0.0710382513661202,0
Valley Creek,1992,23478999,1382.03753063405,0.0655737704918033,0
Valley Creek,1992,23479001,1356.0795589175,0.0628415300546448,0
Valley Creek,1992,23479003,1331.91146858105,0.0437158469945355,0
Valley Creek,1992,23479005,1310.96304416909,0.040983606557377,0
Valley Creek,1992,23479007,1347.23188882202,0.0300546448087432,0
Valley Creek,1992,23479009,1295.83576380663,0.00819672131147541,0
Valley Creek,1992,23479011,1398.93514457673,0.00273224043715847,0
Valley Creek,1992,23479013,1534.43816037602,0.00819672131147541,0
Valley Creek,1993,23478957,1948.33790276766,0.202739726027397,0
Valley Creek,1993,23478959,2002.90343414306,0.216438356164384,0
Valley Creek,1993,23478961,2007.38857784507,0.219178082191781,0
Valley Creek,1993,23478963,1977.59465133765,0.208219178082192,0
Valley Creek,1993,23478965,1966.49097421963,0.216438356164384,0
Valley Creek,1993,23478967,1947.34116921835,0.210958904109589,0
Valley Creek,1993,23478969,1899.6507222814,0.202739726027397,0
Valley Creek,1993,23478971,1794.73753361571,0.175342465753425,0
Valley Creek,1993,23478973,1702.66700815511,0.134246575342466,0
Valley Creek,1993,23478975,1822.3312552666,0.180821917808219,0
Valley Creek,1993,23478977,1810.46986766615,0.172602739726027,0
Valley Creek,1993,23478979,1776.57501847441,0.161643835616438,0
Valley Creek,1993,23478981,1742.25728321804,0.153424657534247,0
Valley Creek,1993,23478983,1756.69849829542,0.145205479452055,0
Valley Creek,1993,23478985,1751.65801956714,0.142465753424658,0
Valley Creek,1993,23478987,1671.63718039399,0.0986301369863014,0
Valley Creek,1993,23478989,1559.78421828583,0.0767123287671233,0
Valley Creek,1993,23478991,1427.64436230564,0.0493150684931507,0
Valley Creek,1993,23478993,1305.03963922063,0.0219178082191781,0
Valley Creek,1993,23478995,1242.65449194969,0,0
Valley Creek,1993,23478997,1129.75340362714,0,0
Valley Creek,1993,23478999,1080.99440165913,0,0
Valley Creek,1993,23479001,1058.30539925732,0,0
Valley Creek,1993,23479003,1037.82183661864,0,0
Valley Creek,1993,23479005,1019.1332697198,0,0
Valley Creek,1993,23479007,1067.6123732602,0,0
Valley Creek,1993,23479009,1039.13528924159,0,0
Valley Creek,1993,23479011,1149.26961642994,0,0
Valley Creek,1993,23479013,1291.35346873455,0,0
Valley Creek,1994,23478957,2360.99770219304,0.295890410958904,0
Valley Creek,1994,23478959,2419.33508243981,0.295890410958904,0
Valley Creek,1994,23478961,2402.70756097562,0.304109589041096,0
Valley Creek,1994,23478963,2372.58494284536,0.293150684931507,0
Valley Creek,1994,23478965,2358.73807272831,0.293150684931507,0
Valley Creek,1994,23478967,2357.83641549599,0.298630136986301,0
Valley Creek,1994,23478969,2342.05972461424,0.295890410958904,0
Valley Creek,1994,23478971,2184.86274781227,0.284931506849315,0
Valley Creek,1994,23478973,2110.75440878659,0.279452054794521,0
Valley Creek,1994,23478975,2214.48797807475,0.284931506849315,0
Valley Creek,1994,23478977,2198.89051509779,0.295890410958904,0
Valley Creek,1994,23478979,2174.06721257859,0.282191780821918,0
Valley Creek,1994,23478981,2139.94600040344,0.282191780821918,0
Valley Creek,1994,23478983,2177.29997170598,0.279452054794521,0
Valley Creek,1994,23478985,2151.14663275934,0.273972602739726,0
Valley Creek,1994,23478987,2052.40452950299,0.257534246575342,0
Valley Creek,1994,23478989,1938.58221792658,0.224657534246575,0
Valley Creek,1994,23478991,1802.57995755269,0.191780821917808,0
Valley Creek,1994,23478993,1687.94388198709,0.16986301369863,0
Valley Creek,1994,23478995,1617.8135419338,0.128767123287671,0
Valley Creek,1994,23478997,1494.74329148191,0.117808219178082,0
Valley Creek,1994,23478999,1452.18809043153,0.101369863013699,0
Valley Creek,1994,23479001,1424.97418926514,0.0986301369863014,0
Valley Creek,1994,23479003,1402.95118574606,0.0876712328767123,0
Valley Creek,1994,23479005,1376.71188173649,0.0794520547945206,0
Valley Creek,1994,23479007,1424.72138153349,0.0712328767123288,0
Valley Creek,1994,23479009,1379.36307709141,0.0301369863013699,0
Valley Creek,1994,23479011,1471.01594166536,0.0164383561643836,0
Valley Creek,1994,23479013,1607.69526263276,0.0273972602739726,0
Valley Creek,1995,23478957,2040.37610838556,0.210958904109589,0
Valley Creek,1995,23478959,2098.71714449467,0.216438356164384,0
Valley Creek,1995,23478961,2101.17581758736,0.227397260273973,0
Valley Creek,1995,23478963,2069.96207267256,0.221917808219178,0
Valley Creek,1995,23478965,2054.34572772734,0.216438356164384,0
Valley Creek,1995,23478967,2039.94305055727,0.210958904109589,0
Valley Creek,1995,23478969,1999.02202762026,0.210958904109589,0
Valley Creek,1995,23478971,1869.97084534411,0.210958904109589,0
Valley Creek,1995,23478973,1784.81197046925,0.202739726027397,0
Valley Creek,1995,23478975,1904.81935803601,0.210958904109589,0
Valley Creek,1995,23478977,1886.81522768515,0.208219178082192,0
Valley Creek,1995,23478979,1854.96404481989,0.208219178082192,0
Valley Creek,1995,23478981,1817.183322882,0.205479452054795,0
Valley Creek,1995,23478983,1840.63612097768,0.208219178082192,0
Valley Creek,1995,23478985,1830.36974072483,0.2,0
Valley Creek,1995,23478987,1736.38514159146,0.189041095890411,0
Valley Creek,1995,23478989,1618.13197009449,0.180821917808219,0
Valley Creek,1995,23478991,1490.87602968195,0.136986301369863,0
